id_univ,id_wilayah ,nama_univ,akred_univ,qs_rank
2003,32.01,Institut Pertanian Bogor,Unggul,426
2013,64.71,Institut Teknologi Kalimantan,B,Unranked
2002,35.78,Institut Teknologi Sepuluh November,A,585
335001,31.75,Sekolah Tinggi Ilmu Statistika,B,Unranked
1004,35.78,Universitas Airlangga,A,308
1030,17.71,Universitas Bengkulu,B,Unranked
1019,35.73,Universitas Brawijaya,A,801-850
1018,91.71,Universitas Cenderawasih,B,Unranked
1008,33.74,Universitas Diponegoro,Unggul,721-730
1001,34.04,Universitas Gadjah Mada,A,239
1029,74.71,Universitas Halu Oleo,B,Unranked
1005,73.71,Universitas Hasanuddin,A,1001-1200
1002,32.76,Universitas Indonesia,A,206
1010,63.71,Universitas Lambung Mangkurat,A,Unranked
1015,64.72,Universitas Mulawarman,A,Unranked
1047,75.71,Universitas Negeri Gorontalo,Unggul,Unranked
1037,31.75,Universitas Negeri Jakarta,B,Unranked
1036,73.71,Universitas Negeri Makassar,A,Unranked
1032,13.71,Universitas Negeri Padang,A,Unranked
1041,33.74,Universitas Negeri Semarang,A,Unranked
1038,34.04,Universitas Negeri Yogyakarta,A,1201-1400
1007,32.11,Universitas Padjadjaran,Unggul,596
1021,81.71,Universitas Pattimura,B,Unranked
1017,14.71,Universitas Riau,A,Unranked
1027,33.72,Universitas Sebelas Maret,A,1001-1200
1003,12.71,Universitas Sumatera Utara,A,1201-1400
1011,11.71,Universitas Syiah Kuala,A,Unranked
1028,72.71,Universitas Tadulako,B,Unranked
1022,61.71,Universitas Tanjungpura,A,Unranked
1031,36.73,Universitas Terbuka,B,Unranked
